Zone_Number,Jobs,ParkTrail,ActivityCenter,Grocery,HealthFac,SchoolU,Count
6420,76237,164,11,14,31,70,198
6421,74936,163,11,13,30,69,196
6601,746609,1008,99,100,214,581,956
6602,824465,1113,107,110,237,656,1060
6603,764571,1031,101,102,222,598,972
6604,383255,574,55,48,117,313,551
6605,459873,680,60,61,141,382,650
6606,471031,693,61,63,143,392,661
6607,571481,790,77,77,174,468,782
6608,499537,707,66,64,153,406,677
6609,438060,647,60,59,135,359,611
6610,549094,778,72,72,162,435,741
6611,473236,687,61,63,142,395,655
6612,463735,661,61,59,139,360,620
6613,437092,635,56,52,129,335,574
6614,477796,685,61,55,142,357,613
6615,437256,630,55,51,125,319,563
6616,676710,916,92,90,202,578,920
6617,536802,748,73,74,164,453,758
6618,665119,908,91,91,201,560,900
6619,676128,912,91,90,200,551,900
6620,629446,845,85,84,190,505,835
6621,674234,903,89,87,198,519,872
6622,630947,861,82,78,189,478,807
6623,606063,841,79,76,179,464,784
6624,361181,551,52,43,109,289,519
6625,277617,456,38,34,82,225,424
6626,330188,514,49,39,98,261,477
6627,326117,501,38,37,89,242,451
6801,210761,351,25,26,55,169,324
6802,216023,377,29,27,59,176,351
6803,252143,409,31,29,68,195,375
6804,252509,412,30,29,66,191,375
6805,264924,422,32,29,68,199,378
6806,213079,365,29,27,71,182,353
6807,242955,412,31,33,76,201,384
6808,272734,428,31,31,70,201,380
6809,151870,292,21,20,53,131,291
6810,193434,351,28,25,60,166,335
6811,187064,338,27,24,57,159,324
6812,204371,353,28,25,57,168,333
6813,202100,351,27,25,57,165,325
6814,236745,372,27,27,60,181,337
6815,305569,447,33,32,80,217,399
7001,741071,1027,95,99,218,559,937
7002,797507,1098,103,108,236,614,1009
7003,619240,852,84,77,188,463,778
7004,791807,1085,106,109,237,617,997
7005,815509,1130,109,112,252,645,1039
7006,773502,1087,105,109,237,595,980
7007,722384,996,102,93,223,537,892
7008,784991,1093,105,101,240,590,971
7009,1042538,1350,128,132,341,805,1259
7010,1075775,1411,129,136,359,846,1286
7011,1073012,1446,138,144,360,848,1288
7012,1232032,1532,153,152,389,926,1407
7013,1043969,1424,135,143,351,826,1254
7014,1132143,1525,143,153,382,898,1338
7015,1051531,1463,140,147,364,860,1278
7016,990501,1376,128,141,340,802,1219
7017,1164526,1584,151,166,406,951,1397
7018,858766,1165,110,115,251,683,1102
7019,946257,1241,118,124,300,752,1176
7020,854211,1171,110,114,261,679,1094
7021,857669,1172,110,115,262,677,1089
7022,906184,1247,114,122,293,741,1155
7023,859653,1175,111,116,263,679,1090
7024,910207,1262,114,122,299,744,1162
7025,845563,1167,111,113,260,666,1077
