Zone_Number,Jobs,ParkTrail,ActivityCenter,Grocery,HealthFac,SchoolU,Count
1003,519626,315,44,41,125,311,461
1004,512676,303,46,34,129,290,437
1005,533528,324,51,43,136,319,472
1006,457077,281,45,32,104,260,408
1007,583373,374,64,47,162,373,541
1008,494958,303,47,34,136,297,430
1009,484799,305,55,35,116,273,426
1010,496030,316,53,34,135,287,437
1011,484711,298,49,33,134,286,422
1012,603206,408,67,42,184,415,589
1013,495731,317,55,37,127,290,437
1014,615102,440,69,52,175,438,627
1015,572366,377,63,43,159,385,543
1016,562731,357,62,45,158,363,514
1017,611408,440,67,48,182,424,616
1018,643674,463,70,51,194,453,654
1019,665960,490,80,55,201,489,693
1020,670690,471,82,53,203,490,691
1021,551446,347,58,38,161,350,506
1022,646456,443,77,50,198,459,651
1023,551631,328,56,37,161,347,494
1024,581861,370,65,38,173,389,542
1025,684877,486,79,55,205,496,706
1026,780429,630,96,70,250,624,862
1027,595963,397,68,41,182,407,558
1028,660153,448,75,49,205,474,663
1029,742589,567,92,63,234,579,806
1030,719863,529,87,63,230,558,770
1031,693042,481,76,55,222,526,708
1032,628476,411,69,43,202,447,611
1033,608945,388,66,41,193,426,574
1034,815728,685,103,80,266,665,922
1035,648907,439,69,50,204,461,642
1036,730110,545,86,63,235,577,787
1037,620229,403,68,42,193,444,606
1038,597437,370,66,36,188,410,547
1039,642876,423,76,52,199,470,637
1040,785801,641,100,76,248,632,872
1201,498968,323,53,35,135,289,451
1202,536343,359,58,41,148,344,501
1203,504245,319,53,35,139,298,453
1204,474461,274,49,33,117,264,395
1205,497287,307,50,34,137,297,438
1206,543945,333,60,34,155,338,485
1207,523121,341,56,38,144,326,483
1208,540390,340,56,37,150,340,489
1209,641364,425,71,47,199,456,624
1210,590995,383,61,42,171,379,547
1211,622983,404,69,41,194,428,589
1212,569928,342,56,39,161,344,504
1213,624579,420,72,46,189,426,595
1214,655162,445,74,50,204,473,650
1215,652395,445,73,52,200,468,649
1216,535699,307,55,31,152,341,465
1217,578477,351,61,36,172,392,529
1218,548534,327,57,35,161,351,475
1219,584019,368,63,42,170,366,532
1220,552734,330,57,37,161,350,495
1221,545907,324,60,32,161,357,476
1222,549766,334,60,32,164,363,491
1223,609817,401,70,39,190,420,559
1224,582059,358,62,41,176,386,526
1225,521967,300,53,31,147,332,445
1226,510091,293,53,37,154,301,433
1227,517334,304,51,34,151,304,423
1228,567582,342,62,39,169,368,500
1229,557825,334,56,37,169,359,483
1230,560077,337,63,34,163,384,488
1231,496440,277,50,33,142,278,404
1232,553625,327,57,36,167,346,475
1233,491086,273,50,30,137,294,396
1234,489668,280,54,34,132,267,405
1235,515169,294,50,35,147,291,427
1236,474653,263,50,30,131,249,376
1237,492437,277,53,31,141,268,396
1401,553861,311,49,36,162,383,485
1402,501763,276,43,32,137,326,430
1403,567284,357,55,32,160,405,512
1404,578766,355,51,39,172,412,528
1405,658008,475,68,48,192,494,637
1406,593668,370,54,43,179,427,550
1407,517444,276,42,34,146,331,433
1408,612586,410,60,41,191,442,561
1409,472215,247,50,27,144,325,387
1410,504010,292,53,25,147,349,427
1411,569210,334,58,35,175,398,502
1412,509674,286,49,35,143,343,445
1413,508510,250,40,30,140,319,406
1414,570903,338,52,38,169,403,506
1415,669795,452,71,47,218,492,653
1416,462816,260,50,25,149,328,404
1417,526760,306,49,32,151,362,469
1418,672410,445,71,49,219,490,630
1419,556817,342,58,33,161,394,507
1420,513359,287,56,32,159,358,438
1421,543972,305,50,36,158,365,476
1422,563928,338,54,32,169,388,491
1423,577152,341,55,41,175,405,514
1424,489692,267,47,31,138,336,425
1425,565112,328,55,34,168,392,509
1426,650121,412,70,43,220,483,615
1427,475697,259,50,28,161,339,414
1428,691728,476,77,53,237,538,704
1429,624594,392,67,42,201,463,599
1430,519650,269,43,33,140,322,424
1431,500769,272,44,29,142,329,430
1432,692225,479,78,55,227,545,710
1433,483634,267,45,32,140,330,421
1434,319164,168,29,23,97,224,282
1435,561542,328,61,34,184,399,512
1436,376315,194,36,25,112,259,331
1437,509361,279,52,33,158,357,447
1438,583622,326,62,36,188,413,522
1439,402019,215,40,27,120,294,364
1440,640557,385,73,46,224,446,607
1441,618258,366,68,45,207,452,581
1442,351358,186,33,23,110,248,316
1443,472406,270,53,37,161,351,437
1444,502777,301,51,36,173,363,463
1445,375159,201,37,29,123,296,344
1601,551399,313,49,38,166,354,468
1602,471843,264,40,34,134,282,376
1603,526781,285,47,36,155,327,441
1604,327076,212,31,28,104,214,293
1605,559053,326,50,41,171,374,487
1606,535713,297,46,39,160,345,458
1607,571239,316,52,45,175,350,469
1608,478489,260,41,32,136,305,401
1609,333176,206,35,30,121,273,323
1610,563523,305,52,40,170,342,448
1611,487132,258,44,39,147,306,400
1612,474397,255,44,40,152,316,397
1613,468437,234,43,33,138,281,368
1614,312179,212,35,33,127,270,321
1615,370508,223,40,36,127,265,330
1616,431511,220,45,32,140,310,383
1617,388144,228,39,33,130,256,335
1618,414074,228,41,33,144,283,355
1619,482249,254,43,36,142,299,384
1620,293927,182,32,28,98,210,267
1621,164637,144,20,23,87,188,220
1622,245791,153,31,23,110,235,264
1623,231599,167,22,24,94,186,241
1624,169321,153,23,25,87,173,216
1625,279974,166,34,23,118,247,286
1626,274167,131,33,21,106,223,257
1627,254922,190,37,28,125,251,291
1628,193346,157,21,21,100,195,234
1801,400503,133,25,15,71,139,241
1802,355268,107,22,12,53,114,203
1803,67408,13,5,4,14,29,47
1804,337774,98,22,9,51,112,192
1805,232274,46,15,5,41,74,129
1806,247547,39,13,2,33,57,114
1807,453903,187,34,18,100,215,316
1808,170742,59,13,10,27,69,121
1809,363590,111,21,13,57,115,212
1810,0,0,0,0,0,0,0
1811,344955,111,22,12,57,119,214
1812,312470,110,24,11,59,113,202
1813,398581,146,26,14,76,145,246
1814,450448,190,31,17,88,189,305
1815,356059,153,26,15,65,152,243
1816,454687,193,33,19,89,200,314
1817,429053,179,29,17,84,174,286
1818,471388,236,37,22,100,223,359
1819,359427,155,26,16,71,150,247
1820,401988,203,33,25,82,202,309
1821,468120,261,40,31,107,246,377
1822,520580,322,50,36,129,320,472
2001,30512,20,3,4,8,28,34
2002,337932,140,22,12,42,107,212
2003,380554,193,29,18,53,146,273
2004,137693,71,8,6,18,52,89
2005,211348,63,14,7,24,72,131
2006,314486,153,23,16,46,139,224
2007,94676,89,12,11,26,92,121
2008,255752,154,21,19,49,132,210
2009,278597,174,25,18,52,152,242
2010,299588,173,27,25,59,156,251
2011,304983,159,24,19,59,153,244
2012,295308,191,24,24,57,153,259
2013,449350,231,35,29,96,214,348
2014,372114,185,31,22,69,164,284
2015,429611,238,35,32,83,218,353
2016,446571,252,40,34,93,224,374
2017,460386,226,36,26,95,210,348
2018,457885,285,44,35,95,258,402
2019,503435,283,41,33,110,270,417
2020,488327,291,41,39,118,264,412
2021,406290,239,38,34,86,219,349
2022,485871,287,40,33,117,270,414
2023,497947,306,43,39,118,283,432
2201,550512,332,62,40,160,324,464
2202,439112,213,44,26,114,226,342
2203,475649,259,49,32,129,251,378
2204,489542,271,52,34,135,273,388
2205,401007,185,40,24,103,198,303
2206,448603,229,46,27,112,228,326
2207,486954,261,52,32,139,272,382
2208,527844,308,62,38,152,318,458
2209,444293,232,50,27,119,239,338
2210,408656,196,39,17,107,210,295
2211,488464,269,59,37,136,278,406
2212,463277,250,57,33,125,279,381
2213,451005,242,53,31,118,274,364
2214,414340,207,45,23,113,232,312
2215,504417,289,61,35,138,322,425
