TAZ,TAZT,Jobs,ParkTrail,ActivityCenter,Grocery,HealthFac,SchoolU
11418,11418,160,6,0,0,0,1
11424,11424,741,2,0,0,0,1
11609,11609,1201,2,1,0,0,0
11633,11633,1380,1,1,0,0,3
11644,11644,12330,3,0,0,0,1
11647,11647,1286,2,0,0,3,0
11811,11811,1302,1,1,1,0,2
11813,11813,776,1,0,0,1,0
10420,10420,804,2,0,0,0,1
10441,10441,1008,1,0,0,0,1
10442,10442,420,1,0,0,0,1
10444,10444,229,1,1,0,0,1
10613,10613,174,2,0,0,0,1
10801,10801,475,2,0,0,0,1
10802,10802,1963,2,0,1,1,1
10803,10803,314,2,0,0,0,1
15208,15208,221,3,1,0,0,0
15225,15225,1012,2,0,0,1,1
15227,15227,1068,2,0,0,0,1
15248,15248,681,2,0,1,0,0
15249,15249,997,2,0,0,0,2
12410,12410,2777,2,0,0,1,0
14026,14026,250,1,1,0,0,0
14208,14208,167,1,0,0,0,1
14405,14405,166,2,0,0,0,1
14409,14409,725,3,0,1,0,2
14601,14601,349,1,0,0,1,0
14604,14604,1356,2,0,1,0,0
14607,14607,736,3,0,0,0,1
14616,14616,1914,1,0,0,3,1
14617,14617,220,1,1,0,1,2
14626,14626,774,1,0,0,1,1
16043,16043,673,2,0,0,0,2
16220,16220,258,2,0,0,0,1
16224,16224,530,1,0,0,0,3
18012,18012,1557,1,0,0,2,3
18019,18019,771,2,0,0,1,1
18024,18024,502,3,0,0,0,1
18038,18038,357,2,0,0,0,1
18039,18039,2441,2,1,0,0,3
18226,18226,863,1,0,0,1,1
18228,18228,1249,2,0,0,0,1
19004,19004,1574,4,0,0,0,2
19007,19007,724,1,0,0,0,2
19024,19024,1751,2,0,0,0,2
20003,20003,1833,1,0,0,0,1
20005,20005,345,2,0,1,0,4
18232,18232,895,1,0,0,0,1
18240,18240,2316,4,0,1,0,2
18618,18618,81,2,0,0,0,1
18620,18620,1971,6,0,0,0,3
18621,18621,449,2,1,0,0,1
18624,18624,971,2,0,0,0,1
18633,18633,924,2,0,0,1,0
15409,15409,460,1,0,0,1,0
15615,15615,2529,2,1,0,0,1
15808,15808,314,1,0,0,0,1
15826,15826,3707,4,0,1,3,0
16029,16029,424,1,0,0,0,1
20078,20078,724,1,0,0,0,2
20088,20088,222,1,0,0,0,1
20091,20091,1454,1,0,1,2,2
20219,20219,327,1,1,0,0,0
20227,20227,1329,0,0,1,0,0
20241,20241,422,1,0,1,0,0
20250,20250,570,0,1,0,1,2
20402,20402,125,1,0,0,0,1
20436,20436,1711,1,0,0,1,1
20437,20437,301,1,0,0,0,1
20438,20438,605,1,0,0,0,1
20604,20604,129,1,0,0,0,3
20010,20010,337,1,0,0,0,1
20021,20021,939,1,0,1,1,3
20023,20023,863,2,0,0,0,1
20032,20032,1065,1,0,0,0,3
20053,20053,347,2,0,0,0,2
20066,20066,267,0,0,0,0,1
22064,22064,1956,1,0,0,0,2
22201,22201,1917,1,0,0,0,2
22209,22209,3451,2,0,0,2,2
22214,22214,1889,2,1,0,0,1
22215,22215,2415,1,0,0,1,1
22239,22239,1281,0,1,1,0,2
22247,22247,2078,1,0,0,3,3
22401,22401,510,2,0,0,0,2
22640,22640,533,1,0,1,0,1
22834,22834,309,0,0,0,0,1
22841,22841,839,1,0,0,1,0
24009,24009,809,1,0,0,0,6
24029,24029,367,1,0,0,0,1
24036,24036,809,1,1,0,0,0
22409,22409,935,2,0,0,1,0
22418,22418,175,1,0,0,0,1
22422,22422,85,3,0,0,0,1
22432,22432,385,2,0,0,0,1
22604,22604,501,2,0,0,0,1
22608,22608,579,1,0,1,0,3
22623,22623,462,1,0,1,0,0
22633,22633,647,1,0,0,0,3
22634,22634,238,1,0,0,0,1
20815,20815,669,1,0,0,0,2
22014,22014,923,1,0,0,0,3
22033,22033,158,0,0,0,0,1
22035,22035,566,2,1,0,1,3
22038,22038,682,1,0,0,0,5
22039,22039,128,2,1,0,0,0
22043,22043,1375,1,0,0,0,2
22053,22053,188,0,0,0,0,1
7806,7806,574,2,0,0,0,1
7811,7811,4545,4,0,1,0,1
8008,8008,348,0,0,0,1,0
8013,8013,135,1,0,0,0,2
8207,8207,1151,2,0,1,3,2
8212,8212,515,1,0,0,1,0
8215,8215,1134,1,1,0,2,0
8402,8402,597,1,0,0,0,1
8404,8404,182,0,0,0,0,1
20208,20208,1746,1,2,0,1,2
20211,20211,1172,2,0,0,0,1
20236,20236,1836,1,0,0,0,2
20240,20240,166,1,0,0,0,1
20245,20245,454,0,0,0,0,1
20266,20266,1596,1,0,0,4,1
20270,20270,6481,0,0,1,4,0
20272,20272,2353,0,0,0,1,0
20409,20409,625,1,0,0,0,1
5022,5022,1761,1,0,1,4,0
5047,5047,1633,1,0,0,1,0
6006,6006,295,1,0,0,0,1
6007,6007,1542,1,1,0,0,3
6201,6201,774,1,0,0,1,0
6202,6202,254,1,0,0,0,1
6409,6409,446,0,0,0,1,1
6410,6410,816,1,0,0,0,1
6413,6413,1631,1,1,1,0,2
12426,12426,2331,4,0,0,1,0
12431,12431,194,1,0,0,0,1
14021,14021,359,0,0,0,0,1
8429,8429,161,2,0,0,1,0
14413,14413,277,4,0,0,1,0
14421,14421,186,1,0,0,0,1
14427,14427,1675,2,0,0,0,3
14615,14615,3667,2,0,0,4,1
14638,14638,294,2,0,0,0,2
14802,14802,625,1,0,0,0,1
14807,14807,1209,1,1,0,0,0
15006,15006,789,2,0,0,0,2
15205,15205,649,2,0,0,0,3
15404,15404,2793,1,0,0,2,2
15419,15419,682,2,0,0,0,1
15606,15606,543,0,0,0,2,1
15610,15610,1190,1,0,2,0,2
15614,15614,2833,1,0,1,0,2
15617,15617,2600,1,0,0,1,3
15621,15621,819,1,0,1,0,1
15624,15624,2030,1,0,0,0,1
15630,15630,2183,1,0,1,4,0
15631,15631,4186,1,0,0,7,0
15803,15803,228,1,0,0,1,1
15809,15809,465,2,1,0,0,0
16025,16025,422,2,0,0,1,0
16038,16038,377,2,0,0,0,1
16041,16041,542,0,0,0,0,3
16046,16046,576,2,1,0,0,3
16218,16218,499,1,0,0,0,2
16226,16226,920,1,0,0,0,2
16228,16228,1195,1,1,1,0,1
18010,18010,8179,2,0,0,0,1
18016,18016,386,2,0,0,0,1
18022,18022,343,1,0,0,0,1
18027,18027,330,4,0,1,0,2
18041,18041,925,1,0,0,1,6
18215,18215,1086,0,0,0,0,5
18236,18236,1609,1,0,0,0,1
18809,18809,1366,2,0,0,2,0
18813,18813,372,2,0,0,0,1
18814,18814,2093,1,3,0,0,3
20028,20028,535,2,0,0,1,0
20033,20033,598,1,0,1,0,1
20051,20051,1743,2,1,1,0,1
20087,20087,459,2,0,1,0,0
20209,20209,586,2,0,0,0,3
20212,20212,3425,1,1,1,0,1
20213,20213,866,1,0,1,0,2
20221,20221,3358,1,0,0,1,0
20228,20228,1180,1,0,1,0,2
20229,20229,444,1,0,0,1,1
20234,20234,873,1,1,0,0,1
20237,20237,585,1,0,0,1,1
20239,20239,2715,3,0,1,1,4
20251,20251,1499,1,0,0,1,1
20254,20254,2205,1,0,0,0,1
20255,20255,2500,1,1,0,1,0
20407,20407,699,1,0,1,0,0
20418,20418,1933,3,0,0,2,1
20623,20623,121,0,0,0,0,2
22001,22001,447,1,0,0,0,2
22012,22012,2813,4,1,0,1,3
22051,22051,731,1,1,0,0,3
22063,22063,1516,1,0,0,0,1
22212,22212,1145,1,0,0,2,2
22220,22220,964,1,1,0,1,0
22229,22229,1718,1,0,0,0,3
22233,22233,977,1,0,0,1,0
22234,22234,2053,4,0,0,0,1
22631,22631,254,1,0,0,0,1
22632,22632,825,4,0,0,0,1
22801,22801,2276,1,0,0,3,0
22810,22810,212,1,0,0,0,1
22826,22826,227,0,0,0,0,1
24008,24008,574,1,0,0,0,2
24013,24013,354,1,0,0,0,1
24410,24410,422,2,1,0,2,0
24608,24608,1406,3,1,0,0,0
24824,24824,255,1,0,0,0,1
25023,25023,1305,1,0,0,0,2
8,8,753,1,0,0,1,0
17,17,2271,2,0,0,1,0
23,23,1498,1,0,0,1,3
35,35,1830,1,1,0,0,1
22243,22243,2230,0,0,0,0,2
22250,22250,2070,0,0,1,2,1
22253,22253,3159,1,0,0,0,1
22254,22254,420,2,1,0,0,0
22410,22410,291,0,0,0,0,2
22426,22426,1825,2,1,0,1,4
22438,22438,346,1,0,0,0,1
22602,22602,1117,1,0,0,0,1
22610,22610,545,2,0,0,0,2
22613,22613,280,1,0,0,0,1
22624,22624,801,2,0,0,0,2
24020,24020,941,1,0,0,1,1
24025,24025,283,1,0,0,0,2
24210,24210,1029,2,0,1,0,2
24401,24401,232,2,0,0,0,1
24403,24403,1492,0,0,1,2,0
24415,24415,360,1,2,0,0,1
24423,24423,1070,2,0,0,0,2
24601,24601,1019,2,1,0,0,3
24819,24819,686,1,0,0,1,1
10008,10008,733,0,0,1,1,2
10012,10012,2433,1,1,0,1,0
10024,10024,247,1,1,0,0,0
10031,10031,556,1,0,0,1,1
10227,10227,1125,1,0,0,1,1
10408,10408,1473,0,0,0,0,1
10421,10421,1886,3,1,0,0,0
10423,10423,324,1,0,0,1,0
10424,10424,1350,2,0,0,0,1
10427,10427,548,1,0,0,0,1
20420,20420,1085,2,1,0,0,2
20648,20648,303,1,0,0,1,0
20650,20650,230,2,0,0,0,1
6612,6612,129,1,1,0,0,1
6619,6619,217,1,0,0,0,1
6624,6624,185,1,0,0,0,1
14,14,161,0,0,0,0,1
31,31,166,4,0,0,0,1
66,66,1755,1,1,0,1,0
72,72,1642,0,1,0,0,0
10435,10435,1601,2,1,0,0,3
10437,10437,162,2,0,0,1,0
10446,10446,660,1,0,0,0,1
10615,10615,751,1,0,0,0,2
10628,10628,164,1,0,0,0,4
10807,10807,406,2,0,0,0,1
10821,10821,562,1,0,0,0,1
10822,10822,547,2,1,0,1,0
11014,11014,394,1,1,1,0,2
20824,20824,10,1,0,0,0,1
22007,22007,268,0,0,0,0,1
22010,22010,557,1,1,0,0,6
22027,22027,608,1,0,0,0,3
22047,22047,1382,2,1,0,0,2
7032,7032,1507,1,0,0,1,1
7036,7036,394,1,0,0,0,1
7058,7058,167,1,0,0,0,1
7216,7216,239,2,0,0,0,1
7223,7223,155,4,0,0,0,1
84,84,2785,0,0,0,0,1
108,108,2059,0,1,0,3,0
132,132,1010,0,0,0,2,1
141,141,672,1,0,0,1,0
405,405,506,1,0,0,2,4
434,434,580,0,0,1,1,1
603,603,727,1,0,0,0,2
627,627,402,1,0,0,0,2
803,803,883,0,0,1,0,0
816,816,317,1,0,0,0,1
821,821,480,0,0,0,1,1
841,841,321,1,0,0,0,1
842,842,605,1,0,0,0,1
843,843,898,1,1,0,0,3
845,845,510,0,0,0,1,2
1001,1001,408,3,0,0,0,1
1005,1005,504,0,0,0,1,2
1016,1016,782,1,1,0,1,1
1032,1032,829,0,0,0,2,2
1218,1218,732,1,0,0,2,2
1406,1406,326,1,0,0,1,0
11404,11404,625,1,0,0,0,2
11420,11420,672,6,0,1,1,0
11601,11601,1930,1,1,1,4,0
11625,11625,1118,2,0,0,0,1
11626,11626,2431,1,0,1,0,0
11640,11640,3495,2,1,0,1,1
11807,11807,1537,1,0,0,1,0
11836,11836,941,1,0,0,1,0
11841,11841,986,3,0,0,4,0
22072,22072,339,1,0,0,0,1
22203,22203,1111,1,0,1,0,2
22219,22219,2777,1,0,0,1,1
22224,22224,1029,1,0,0,0,1
22414,22414,1232,2,1,0,0,2
22443,22443,1180,1,0,0,0,1
7404,7404,1035,1,0,1,0,0
7436,7436,492,2,0,0,0,1
1431,1431,994,0,0,0,0,3
1437,1437,470,0,0,0,1,5
1603,1603,1308,1,0,0,1,2
1611,1611,379,0,0,0,0,1
1616,1616,2464,2,0,0,0,1
1618,1618,187,1,0,0,0,1
1625,1625,268,0,0,0,1,0
12035,12035,1325,2,0,0,1,2
12211,12211,1391,1,0,1,2,1
12222,12222,639,1,0,0,1,1
12230,12230,1160,3,0,0,0,2
12238,12238,2576,2,0,3,1,6
12242,12242,1210,2,0,0,0,1
12244,12244,2845,0,0,0,1,2
12247,12247,850,1,0,0,1,1
12250,12250,1058,4,0,0,3,2
12402,12402,1177,3,1,0,0,2
12430,12430,1291,1,0,0,1,0
22620,22620,1513,2,0,0,0,3
22622,22622,648,1,1,0,0,1
22629,22629,512,2,0,0,0,1
22828,22828,523,1,0,0,0,2
22837,22837,373,1,0,1,0,2
7607,7607,543,3,0,0,0,1
7829,7829,2666,0,1,0,2,0
2012,2012,621,4,0,0,0,2
2015,2015,1072,1,1,0,1,1
2023,2023,2091,0,0,1,0,0
2209,2209,402,0,1,0,1,1
2211,2211,1228,0,0,0,0,2
2214,2214,1328,1,0,0,4,2
2409,2409,174,1,0,0,1,0
2411,2411,1076,0,2,0,1,1
2419,2419,279,1,0,0,1,1
2427,2427,312,1,0,0,0,2
2430,2430,428,2,0,0,0,3
2432,2432,419,1,0,1,1,4
2623,2623,207,0,0,0,0,1
2631,2631,305,0,0,0,0,1
2809,2809,2728,0,1,0,3,0
2812,2812,489,0,0,0,0,2
2814,2814,360,0,0,0,0,1
3003,3003,449,1,0,0,0,1
14009,14009,326,1,0,0,1,0
14015,14015,1609,1,0,1,2,1
14017,14017,600,3,0,0,0,1
14027,14027,595,2,0,1,0,0
14418,14418,1690,1,0,2,0,0
14419,14419,390,2,0,0,0,1
14428,14428,517,4,0,0,0,1
14431,14431,700,2,0,0,2,0
14608,14608,1062,5,0,0,1,1
24010,24010,643,2,0,0,0,1
24012,24012,608,1,0,0,0,1
24017,24017,388,1,0,0,0,2
24024,24024,701,1,0,0,0,2
24035,24035,1367,1,0,0,0,1
24208,24208,340,0,0,0,0,2
24223,24223,118,0,0,0,0,2
8014,8014,618,0,1,0,0,1
8019,8019,4916,3,0,0,2,5
8022,8022,307,1,0,0,0,1
8023,8023,7881,1,0,0,1,1
8028,8028,2412,2,0,0,0,2
8217,8217,672,1,0,0,0,3
3010,3010,189,1,0,0,1,1
3011,3011,474,1,0,0,0,1
3013,3013,122,0,0,0,1,0
3017,3017,383,1,0,0,0,1
3027,3027,411,2,0,0,0,1
3209,3209,936,2,1,0,0,1
3211,3211,276,2,0,0,0,2
3218,3218,232,2,0,0,0,1
3409,3409,1005,0,0,0,3,1
3410,3410,896,1,0,1,0,1
3418,3418,350,1,1,0,0,0
3422,3422,530,0,0,0,0,1
3616,3616,5699,1,0,0,1,3
4025,4025,1397,2,0,0,1,0
14611,14611,1504,1,2,0,1,0
